player_id,team_id,team_name,name,games_played,position_rank,average_points,total_points,pass_yds_per_game,pass_yards,pass_TD,rush_yards,rush_TD,rush_yds_per_game,int,fumbles_lost,total_TD
1,30,Chiefs,Patrick Mahomes,15,2,24.96,374.4,316,4740,38,306,2,20.5,6,2,40
2,7,Packers,Aaron Rodgers,15,3,23.82,357.3,270.6,4059,44,145,3,9.7,5,2,47
3,12,Bucs,Tom Brady,15,9,20.51,307.66,282.3,4234,36,3,3,0.2,11,1,39
4,17,Bills,Josh Allen,15,4,25.12,376.8,288,4320,34,418,8,27.9,9,6,43
5,13,Cardinals,Kyler Murray,15,1,25,374.96,258.9,3884,26,816,11,54.4,12,4,37
6,25,Texans,Deshaun Watson,15,5,22.9,343.52,297.2,4458,30,432,3,28.8,6,3,33
7,32,Chargers,Justin Herbert,14,10,21.42,299.86,288.1,4034,28,225,4,16.1,10,1,32
8,21,Ravens,Lamar Jackson,14,8,22.04,308.56,188.9,2644,23,908,7,64.9,8,4,30
9,23,Browns,Baker Mayfield,15,18,15.49,232.38,224.5,3367,25,121,1,8.1,8,4,26
10,24,Steelers,Ben Rothlisberger,15,12,17.81,267.16,253.6,3804,33,10,0,0.7,10,1,33
11,27,Jaguars,Gardner Minshew,9,25,17.85,160.66,251,2259,16,153,1,17,5,4,17
12,14,Rams,Matthew Stafford,15,16,15.86,237.94,252.7,3791,23,103,0,6.9,9,1,23
13,19,Patriots,Cam Newton,14,20,15.89,222.5,172.5,2415,5,513,12,36.6,10,1,17
14,31,Raiders,Derek Carr,15,14,16.75,251.18,248.4,3732,25,139,3,9.3,7,8,28
15,1,Cowboys,Dak Prescott,5,30,27.13,135.64,371.2,1856,9,93,3,18.6,4,3,13
16,5,Bears,Andy Dalton,8,31,12.43,124.34,192.6,1926,14,66,0,6.6,7,1,14
17,6,Lions,Jared Goff,15,15,16,239.98,263.5,3952,20,99,4,6.6,13,4,24
18,28,Broncos,Drew Lock,12,26,13.09,157.06,216.2,2594,14,153,3,12.8,15,3,17
19,8,Vikings,Kirk Cousins,15,11,18.13,271.9,257.3,3860,32,155,0,10.3,13,5,32
20,28,Broncos,Teddy Bridgewater,14,17,16.96,237.48,254.1,3557,15,272,5,19.4,9,3,20
21,2,Giants,Daniel Jones,13,24,12.7,165.16,208.8,2714,9,406,1,31.2,9,5,10
22,10,Panthers,Sam Darnold,11,32,11.19,123.08,176.5,1942,8,214,2,19.5,9,2,10
23,5,Bears,Nick Foles,8,35,11.58,104.18,205.8,1852,10,1,1,0.1,8,0,11
24,22,Bengals,Joe Burrow,10,23,17.37,173.72,268.8,2688,13,142,3,14.2,5,4,16
25,18,Dolphins,Tua Tagovailoa,8,33,13.36,120.22,161.4,1453,10,81,3,9,2,1,13
26,26,Colts,Carson Wentz,12,21,16.53,198.4,218.3,2620,16,276,5,23,15,4,21
27,3,Eagles,Jalen Hurts,4,36,21.24,84.94,239,989,6,320,1,22.9,3,2,7
28,25,Texans,Tyrod Taylor,0,0,11,176.12,172.8,2765,14,166,1,10.4,7,0,15
29,5,Bears,Justin Fields,0,0,15.8,253.87,210.2,3363,18,498,4,31.1,12,0,22
30,27,Jaguars,Trevor Lawrence,0,0,16.8,268.69,257.2,4115,22,291,3,18.2,13,0,25
31,11,Saints,Jameis Winston,0,0,11.4,182.64,182.6,2922,17,198,1,12.4,11,0,18
32,20,Jets,Zach Wilson,0,0,15.1,241.8,241,3856,19,260,3,16.3,13,0,22
33,4,WFT,Ryan Fitzpatrick,0,0,16.54,264.71,255.9,4094,22,255,3,15.9,15,0,25
34,15,49ers,Trey Lance,0,0,14,225.09,161.5,2585,17,471,5,29.4,9,0,22